xco,yco,ensemble,duration1_1980,duration1_2080,duration2_1980,duration2_2080,duration3_1980,duration3_2080,duration4_1980,duration4_2080,duration5_1980,duration5_2080,duration6_1980,duration6_2080,duration7_1980,duration7_2080,duration8_1980,duration8_2080,duration9_1980,duration9_2080
48,111,01,88241.0,83825.0,39505.0,35625.0,20640.0,18277.0,11203.0,10200.0,6408.0,5694.0,3867.0,3396.0,2361.0,2193.0,1504.0,1318.0,931.0,904.0
48,113,01,79493.0,89291.0,34854.0,38064.0,18395.0,20330.0,10035.0,11227.0,5606.0,6062.0,3190.0,3467.0,1767.0,2008.0,999.0,1075.0,578.0,724.0
48,115,01,94386.0,91104.0,37914.0,39724.0,20357.0,21543.0,11037.0,12052.0,6037.0,6886.0,3661.0,3869.0,2049.0,2274.0,1268.0,1300.0,723.0,849.0
48,117,01,101536.0,111114.0,43535.0,48218.0,22795.0,26142.0,12201.0,14448.0,6742.0,8190.0,3785.0,4489.0,2094.0,2648.0,1220.0,1465.0,743.0,871.0
49,105,01,106579.0,95217.0,46037.0,43063.0,24054.0,23115.0,13181.0,12831.0,7752.0,7560.0,4530.0,4373.0,2851.0,2752.0,1797.0,1628.0,1032.0,1009.0
49,107,01,104826.0,89348.0,46867.0,38399.0,24528.0,20088.0,13866.0,11307.0,8164.0,6858.0,5199.0,4156.0,3115.0,2587.0,2028.0,1671.0,1206.0,1004.0
49,109,01,94428.0,109133.0,43140.0,46837.0,23451.0,25041.0,13482.0,14545.0,8003.0,8618.0,4908.0,5233.0,2999.0,3205.0,1841.0,1996.0,1130.0,1151.0
49,111,01,97452.0,73629.0,44308.0,33700.0,21862.0,16694.0,11201.0,9035.0,6197.0,4935.0,3532.0,2817.0,2146.0,1679.0,1367.0,1121.0,865.0,686.0
49,113,01,83751.0,100677.0,36896.0,42740.0,19696.0,22659.0,10494.0,12517.0,6037.0,7152.0,3533.0,4110.0,2059.0,2526.0,1233.0,1468.0,710.0,785.0
49,115,01,103253.0,96214.0,42951.0,44774.0,22444.0,24758.0,12371.0,13919.0,6903.0,8140.0,4060.0,4726.0,2463.0,2806.0,1410.0,1760.0,823.0,982.0
49,117,01,112910.0,90886.0,44892.0,35900.0,24227.0,20033.0,13043.0,11233.0,7413.0,6212.0,4418.0,3697.0,2520.0,2149.0,1416.0,1288.0,885.0,746.0
50,104,01,75774.0,81562.0,32726.0,34310.0,16698.0,17305.0,8788.0,9253.0,4959.0,5541.0,2983.0,3290.0,1761.0,2053.0,1130.0,1292.0,721.0,879.0
50,106,01,94366.0,75479.0,41587.0,31976.0,22344.0,17135.0,12696.0,9671.0,7237.0,5664.0,4233.0,3306.0,2652.0,2034.0,1560.0,1257.0,991.0,780.0
50,108,01,79788.0,76945.0,35796.0,35538.0,18592.0,18810.0,10510.0,10569.0,6086.0,6257.0,3701.0,3748.0,2267.0,2332.0,1433.0,1414.0,878.0,930.0
50,110,01,93212.0,87375.0,42794.0,35822.0,21830.0,18033.0,11913.0,9772.0,7262.0,5692.0,4597.0,3683.0,2831.0,2403.0,1793.0,1501.0,1215.0,1027.0
