xco,yco,ensemble,rp1_1980,rp1_2080,rp2_1980,rp2_2080,rp3_1980,rp3_2080,rp4_1980,rp4_2080,rp5_1980,rp5_2080,rp6_1980,rp6_2080,rp7_1980,rp7_2080,rp8_1980,rp8_2080,rp9_1980,rp9_2080,rp10_1980,rp10_2080
41,113,01,1.9126459699079306,1.8565434470628257,7.313995220223925,7.24188778009707,11.989434757741193,12.17973785549145,15.862835802646307,16.19022830664933,19.854596413823423,20.277502282445944,25.290751638905114,25.919620737104314,29.517151848116836,30.421068216851026,33.91154217244217,34.57545919253454,39.590397819745846,40.42045782310032,43.774964315631756,44.13814704859429
42,110,01,1.6521681243040347,1.5643626782336262,6.985848774098056,6.850426069056537,11.987030010202703,11.94271740225411,16.2327163942891,16.213644101193147,20.5366306850971,20.654962231249442,26.309269396037394,26.842447879354463,30.62827643507449,31.416492164520253,34.795543473288916,35.88513500606911,40.81895756734269,42.21677402668249,44.334753228161915,46.88854546660316
42,112,01,1.56316205894037,1.364349174815038,6.476629843924356,6.153550422857855,11.102094304484769,10.89244784021666,15.06118937762462,15.054790425328479,19.489986842023526,19.52674812878429,25.702436056900414,25.78184300365605,30.378129218080833,31.008844134831033,35.400693937695394,36.26916067202544,42.193215128454526,43.57055615041446,46.872792462002536,48.68386682273173
43,109,01,1.1658042758441418,1.1371226096872056,5.73268907796923,5.861224080841232,10.101032790069373,10.534339492512448,14.031698219945207,14.754435672481256,18.618615395811766,19.466554377939424,25.267738262071624,26.36275113771771,30.604982077243854,32.395767545151486,35.96271963383511,38.35861029230466,42.96097158638857,47.03193019216982,48.96222427611889,53.26873606715135
43,111,01,1.567990000764629,1.5888671099078093,6.898219325126051,7.136937320825082,11.979771541632461,12.438724906849929,16.274310704083554,17.091432651722354,20.936449841767125,21.938700922519384,27.42445737897218,28.587628373406133,32.34313171482536,33.64038645906096,36.97952961157404,38.73690025210902,44.19662388904004,45.45685370061892,49.54213455657883,50.98807370294059
43,113,01,1.1644259568129822,1.2848289750790474,5.67138009738559,6.04030769648554,10.041271837869203,10.631617939289068,13.703886919816554,14.519894780435795,17.587138347740538,18.586151730694578,22.8855795775598,24.012780008838895,26.38391007350747,28.4722706425988,31.01688842258659,32.947743651725276,36.23135186927522,38.47533217848405,39.67642790230422,42.729966556672736
44,108,01,1.3948217254864033,1.3126882994019213,6.364518631721726,6.276895377520155,11.201549906850701,11.05300849835669,15.362915520770486,15.223430036629374,19.485457709166564,19.571979045583344,25.384157093061752,25.373172964105677,30.2586931154797,30.109673833681533,34.61705964728318,34.400818307149244,40.38603846507069,41.59101722330005,44.71033350478054,46.416627948909145
44,110,01,1.1794301535173273,1.147220444086118,6.328282842096194,6.262228748485789,11.098930671819357,11.003415423582506,15.179072127409144,15.050921938863695,19.43597232517717,19.138006637789317,25.459111830621715,24.616844356588544,29.754781291926054,28.93445624911176,34.08826056825432,32.958313744134166,40.09077531390999,39.006813258845725,45.747604329450695,44.29426133255909
44,112,01,1.4963552874949348,1.5397074397786015,6.605248964857228,6.888525723147242,11.369323934942168,11.879080197578357,15.474054811212191,16.189234253456075,19.693253536422123,20.802132214851742,25.67359208105053,27.16089051691407,30.384816677313257,31.919891931390758,35.29823423349111,36.73280817386447,40.754847034353006,44.09938545942611,44.86858236694653,49.28757964614657
44,114,01,1.5406095611796164,1.4149856266849055,6.604712894598497,6.402087224717119,11.162020646921095,11.005106783429822,14.932938158373622,15.035178689073431,19.022812585869037,19.155301884448235,24.410123909277786,24.59404984430905,28.404073480277294,28.726581954279425,32.21565602793606,32.86977659161852,37.979228936495936,39.27641561092375,41.457899836337766,42.87208334242119
45,106,01,2.081940000993862,1.5066598851286805,8.46120817054773,7.009452290231446,14.094952135504599,12.028519754609654,18.832529244978886,16.517472344684172,23.790014575454634,21.27809677304192,30.96329272509901,27.68291940030902,36.775705807858856,33.27443249192734,42.951716540698115,38.85893815144895,51.650119128347576,46.88399173983695,57.83227828913975,52.767690253049246
45,108,01,1.676745323012764,1.4021773764598666,7.436403518361837,6.782466799557452,12.655168623630347,11.8175733397738,17.029431088677946,16.121738156750016,21.685499201041274,20.820509367322167,27.976550072630623,27.420413476756316,32.93138437813269,32.52222203001798,38.18107811900671,37.72469487426796,45.44671898092698,45.593627637351084,50.122504007115374,50.64970125833122
45,110,01,1.2288675492521919,1.1549760058533531,6.1403502153153955,6.0189568265555735,10.795561021674986,10.65585511176316,14.746794074075824,14.736972790532072,18.972229426410134,19.053938692226264,24.696850926362877,25.27818648708817,28.830784021299813,30.078876122197876,33.49343993034472,34.45463452133289,39.662350372278866,40.51971873934144,44.202010482048166,45.28774014318209
45,112,01,1.1929133040619249,1.3767046018145117,5.500952652031196,6.280995870066832,9.677208285453515,10.97209315180491,13.439849553274353,14.92387977190962,17.352096869181462,19.44380917029654,23.322540006048726,26.15483705466826,27.84743196099491,31.02472197975881,33.01595781566478,36.18296509377821,39.53623681066989,42.632556816711514,44.279103029408304,48.297200696294354
45,114,01,1.2676304877654452,1.2054011038518,5.858760028447988,6.11875861934198,10.011123681566552,10.746242650991205,13.610593068793385,14.740998681179903,17.403648125894815,18.986752762635298,22.62678310704945,24.789170133382306,26.9107039159845,29.31151478308581,30.80946927088884,34.094843069506254,36.251515802691806,39.33698357942127,40.466439882952244,45.09947014067971
45,116,01,0.8946215970221849,1.874063820131163,5.1236602964634566,7.9052074098389,9.065085101455182,13.16172279855191,12.455531097524009,17.438452215254486,16.01232661267118,21.893991471473804,21.021590700362438,27.8346327035847,25.0163833649573,32.40616473594,29.27251191169622,36.980307003598334,34.370782192415774,43.786225990483445,38.213077560299496,48.7133413819898
45,118,01,1.3640408879242476,1.1987850629611445,6.301136367464393,5.878158110480495,10.814007452614309,10.291710321593133,14.620672961517698,13.91864009238808,18.526486751241094,17.689802833530685,23.94176251323274,23.18762421681987,28.393600222622712,27.326010564331177,33.241572997549,30.946121291911233,38.89706673187723,36.14468624501353,44.218924622570576,40.41426072653205
46,107,01,1.7492881465198757,2.2360896107925092,7.659676773979362,9.482946394678361,12.974427982195419,15.734517173177547,17.35284525742448,20.845050194233867,21.877785800911212,25.998667444207108,27.997527549705815,32.819903884347795,32.09142049444912,37.829246989702646,36.614830215873255,42.82987524735313,42.55679874691541,48.6472157963694,47.49344014382162,53.381404040064744
46,109,01,1.3599151587135845,1.5349386888940928,6.135849465992089,7.088772395180367,10.735745441937866,12.286741953659844,14.68974926549327,16.598176552824402,18.946744203217353,21.485094839383734,25.26549606772061,28.468534203472203,30.455700897386745,34.148520989817406,35.867459052190824,40.18703906473916,43.13107367460653,48.34280983681072,48.474006300793796,55.94745551278196
