xco,yco,ensemble,mhwt1980,mhwt2020,mhwt2080
41,113,01,24.325305013902216,25.466959914979324,30.30120239436051
42,110,01,24.98906018653091,26.216331966398357,30.85807405336033
42,112,01,24.215267290026162,25.607512724546602,30.51745162032179
43,109,01,25.224482450081226,26.356841352989452,31.292259663431192
43,111,01,24.5531766860866,25.82320195966102,30.854915566975833
43,113,01,24.8070895215952,26.1900958362988,30.582388454459302
44,108,01,24.64844483978767,25.76662726321199,31.067045360600343
44,110,01,24.32368263811491,25.313728278104232,29.96073308697917
44,112,01,24.458284608990862,25.454918990881897,31.044280970763406
44,114,01,23.868561915155382,25.378733245715324,30.287821395272417
45,106,01,22.763419561218118,23.840698647001606,28.975161625344498
45,108,01,24.62739710148075,26.01857114326401,31.081691418069056
45,110,01,24.88572908220602,26.127169865128153,31.40499474496801
45,112,01,24.308473582629954,25.66138569609527,30.8651276981711
45,114,01,23.997202821945525,25.38084644674871,30.218211767569976
45,116,01,24.278333781591293,25.589479090239386,30.110432472096324
45,118,01,23.82390767972782,25.125345697975337,29.884805627902338
46,107,01,24.6126765366194,25.73484589159102,31.249074641866773
46,109,01,24.768333806466888,25.934829387219544,31.24483028531403
46,111,01,24.246315269961002,25.671487166197174,30.2330468425736
46,113,01,24.01046629296648,25.270149361554957,29.834126700291733
46,115,01,23.865002612590956,25.36708904660301,30.79606563364491
46,117,01,24.059766259938208,25.566012617551625,31.01846396795752
47,106,01,24.77386614629246,25.97889332092309,31.08561790336717
47,108,01,24.955757336259104,26.3867915829884,31.809882198797716
47,110,01,24.891042457244655,25.99200426890065,31.05932561183906
47,112,01,24.44773557588985,25.610896445685942,31.430838803855494
47,114,01,24.43147985133513,25.736902579992453,30.911080925194092
47,116,01,23.559469341981835,25.08997478188903,30.816353672738774
48,105,01,25.02322785477323,26.456281681454964,31.890049582760035
48,107,01,24.912858292179866,26.357258100015105,31.724607445088463
48,109,01,24.826479848867297,26.162787730711397,31.556712562817854
48,111,01,24.910465450666155,26.139854721501464,31.64796100504331
48,113,01,24.789702024407518,26.165590919646398,31.15196069616406
48,115,01,23.64821744328099,25.121193495272546,30.48681889524895
48,117,01,24.332891108783976,25.91982825020949,31.15076489391509
49,105,01,24.914026377697013,26.632049851920986,32.0624706319831
49,107,01,25.06000311720411,26.56659579951306,31.902836209042288
49,109,01,24.630661813177763,25.89705196407828,30.709849728742267
49,111,01,24.561495427392973,25.773571672109227,32.37108785506308
49,113,01,24.76309850002245,25.765040259166856,30.697034320379835
49,115,01,23.82405268308644,25.35809955076346,31.213467522188267
49,117,01,24.466746877188786,26.099137871560202,31.62017153191094
50,104,01,25.710585049594123,26.9758416183973,32.432426500497876
50,106,01,25.130847318464472,26.856925265284254,32.235349819358746
50,108,01,25.214332825180573,26.791314325985375,32.21495125690115
50,110,01,24.780846048629787,25.825894262228204,31.345822581120505
50,112,01,24.614726892846576,25.782144053065394,30.98049914809385
50,114,01,24.000900550215732,25.491843053055902,30.14798720691337
50,116,01,24.917487944095512,26.343969220419112,32.35371347624856
50,118,01,25.174368616028765,26.260725762265302,31.557300588014037
50,120,01,25.547766848107887,26.548097504301143,31.76501699166213
51,105,01,25.618857806223946,26.899260367850424,31.906913225679094
51,107,01,24.664688194675858,25.70937188146369,31.163817947343855
51,109,01,25.023522961412265,26.23121487994862,31.858947645211913
51,111,01,23.685226147301993,25.13674356558745,30.273574757532817
51,113,01,24.686129073221714,26.083402607900382,31.483201219600076
51,115,01,24.662607319886344,26.011508179025093,31.611990690856423
51,117,01,24.552520068151136,25.797976706847315,30.692351290174756
51,119,01,24.331101828249334,25.53302578832491,31.026513610747312
51,121,01,25.044011391921945,26.306761450940236,31.81191561835282
52,104,01,25.719823031126698,27.293307084799746,33.08144548761862
52,106,01,25.487801189258228,26.687799114600523,32.33791045171309
52,108,01,23.89495815025134,24.728739528894977,30.652099223047518
52,110,01,24.52867457700016,25.669149759415408,31.20143541489497
52,112,01,24.041767597512063,25.500631835385217,31.19738138996834
52,114,01,24.68525973058061,26.08656925287037,31.029025694644336
52,116,01,25.122749980804596,26.425275753400452,31.84966103470641
52,118,01,24.619596186674038,25.85175617064868,31.618000048841797
52,120,01,24.45394962643281,25.78622476703958,30.875994738217496
52,122,01,24.48752537104121,25.42423856076669,30.6491534735923
