xco,yco,ensemble,rp1_1980,rp1_2080,rp2_1980,rp2_2080,rp3_1980,rp3_2080,rp4_1980,rp4_2080,rp5_1980,rp5_2080,rp6_1980,rp6_2080,rp7_1980,rp7_2080,rp8_1980,rp8_2080,rp9_1980,rp9_2080,rp10_1980,rp10_2080
41,113,01,24.642950454603355,25.743495850871994,26.578469874701565,27.72299238633774,27.670365594254452,28.854654041263437,28.416200054025595,29.63261470568351,29.114086542173933,30.363731707336882,30.088963653215565,31.360646246728493,30.74566660462022,32.07227433165015,31.27960015741414,32.632904863355705,31.892471107656167,33.382531944024585,32.29099797119589,33.83121805731725
42,110,01,25.143050224325833,26.324622432331818,27.095354513848584,28.284837355142557,28.18766394071693,29.407848691869468,28.956476496254187,30.183580775007638,29.694637911928474,30.935029594518298,30.534610967383117,31.86779945273102,31.14906740923339,32.53729276704488,31.664415147660478,33.0677479464112,32.25838613083661,33.78224318302054,32.67688708480433,34.24576394616101
42,112,01,24.32343016799195,25.581167221069336,26.273432201852344,27.58411760001755,27.415598256392947,28.776388564244435,28.224668651616923,29.624711596222348,28.975853676947494,30.400772590057244,29.858997484845514,31.333271746823335,30.46251437299263,31.979852915475902,31.099831685437003,32.56841109296832,31.80097601465446,33.36778604529347,32.24673172963581,33.93325345485882
43,109,01,25.100742589933297,26.191905002093783,27.00896801506922,28.183088458295742,28.058476688763026,29.31954858729886,28.781081354732343,30.10581869785435,29.470240252620215,30.815933422143356,30.266361250650746,31.710651258666545,30.824490247550422,32.27986330534379,31.352902633816313,32.83595384542315,31.874469869644276,33.35130030728075,32.236818526942,33.71364805568442
43,111,01,24.65957486791074,25.894404040052827,26.6691572012908,28.008959515406982,27.79407156264305,29.21021366558081,28.602104923167833,30.054973954658884,29.31170929555249,30.788647364853716,30.162728636228533,31.73229801906325,30.76757910084858,32.33648988039573,31.31603600340315,32.93735863141085,31.920448318432186,33.590644832946225,32.35710780189443,33.973527328320245
43,113,01,24.71466318964412,26.13667437833432,26.574204948108612,28.073541526979632,27.61053591361701,29.184072656668015,28.345284317474146,29.93365803333245,29.023907169138752,30.645370790611697,29.85176048976014,31.54496485724228,30.469875952429028,32.17095196842822,30.99457449389721,32.78486175719607,31.71502311201795,33.51372760054447,32.218111192903585,34.06027941387164
44,108,01,24.64781206397012,25.70660226204006,26.610854607388504,27.698573118687097,27.704305386577715,28.808703863174834,28.454945294718662,29.564337235959748,29.171617973783693,30.255548919876112,30.05282157284106,31.162588704530044,30.61308943868064,31.753886787177223,31.12998522019235,32.32649913257743,31.67630034109916,33.02568979341645,32.17467121814144,33.40577852004668
44,110,01,24.17545054693072,25.16543609636164,26.20245857339362,27.154887619075296,27.28483306945121,28.207003639885095,27.999390338704334,28.9166849708699,28.65555032775369,29.58159009744581,29.426865041201307,30.389601045269043,29.95252244162931,30.905231833837636,30.465070717320636,31.360264616346186,31.020684914825186,31.940453204384298,31.569619744064575,32.39661891352685
44,112,01,24.516075181770503,25.50625116762137,26.500339536787067,27.577016807997875,27.605872272968732,28.75070185414893,28.37037464731699,29.544690022648926,29.03706609818007,30.270282244107076,29.834224290493008,31.16991494970366,30.36454899890806,31.747617526070716,30.831332980395473,32.268084893275656,31.32260118819292,32.91163254895237,31.61134613252878,33.32110456895407
44,114,01,24.001529832141877,25.42120241616135,25.842073952023508,27.307475642495973,26.85752454577179,28.36771240364289,27.563417329459913,29.12278782148213,28.243693202782115,29.834527997540246,29.082438642371788,30.650989822198163,29.62946160564858,31.229888498762215,30.08101722152664,31.717963365558717,30.610242233492208,32.19622150336508,30.94036850186759,32.541513880020084
